id,hasProblem,avgCycle,lanes,avgTimes
1089668757,False,45,"['-537607366_2', 'gneE696.66_0', 'gneE696.66_1', '-370826209.583_2', '428246473_1', '-537607366_1', '-370826209.583_1', '428246473_2']","[10.0, 10.0, 10.0, 10.0, 18.0, 10.0, 10.0, 5.0]"
1125210193,False,48,"['-340061579_1', '427907033_1', '-340061579_2', '427907033_0', '427907030_2', '427907030_1']","[19.0, 20.0, 19.0, 20.0, 49.0, 49.0]"
1173906871,False,87,"['370826214#2_1', '-428246473_0', '-428246473_2', '370826214#2_2', '452336725#8_0', '-428246473_1', '370826214#2_0']","[38.0, 76.0, 38.0, 38.0, 38.0, 38.0, 38.0]"
1178349141,False,87,"['462696736#1_1', ':1178349141_w1_0', '462696736#1_3', '-354215257#1_2', ':1178349141_w0_0', ':1178349141_w3_0', '-354215257#1_1', '462696736#1_2', '543950129#0_2', '-240841284#1_1', '543950129#0_1', ':1178349141_w2_0']","[54.0, 54.0, 54.0, 54.0, 25.0, 54.0, 54.0, 54.0, 25.0, 25.0, 25.0, 25.0]"
1487927522,False,61,"['-290771881_1', '-667052572_1', '-357012704.20_2', '-357012704.20_1', 'E2.37_1', '-290771881_0', 'E2.37_2']","[9.0, 9.0, 32.0, 33.0, 33.0, 9.0, 32.0]"
1487927529,False,48,"['-102917976#0_2', '-102917976#0_1', '102758039_1', ':1487927529_w1_0', '102758039_2']","[10.0, 10.0, 23.0, 7.0, 7.0]"
1565882716,False,52,"['-213928768#0_2', '531870054_2', '-213928768#0_1', '-286940847_1', '-564742533#1_1', '-286940847_0', ':1565882716_w0_0']","[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 27.0]"
1692270811,False,53,"['-127697550#0_2', '-127697550#0_1', '158143939_0', '158143939_1', '621378266#1_1', '621378266#1_2', ':1692270811_w0_0', '621378266#1_3', '-127697550#0_3', '158143939_2']","[15.0, 15.0, 19.0, 6.0, 7.0, 7.0, 0.0, 7.0, 15.0, 6.0]"
1801209605,False,24,"[':1801209605_w0_0', '-428246478_1', '-8044215#0_1', ':1801209605_w1_0', '623761323_1', ':1801209605_w2_0', ':1801209605_w3_0', '-428246469_2', '-428246469_3', '623761323_2', '-428246478_3', '-428246469_1', '-428246478_2']","[7.0, 6.0, 7.0, 6.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0]"
1884382810,False,54,"[':1884382810_w4_0', '458058812.29_1', '534549105#4.101_2', '534549105#4.101_3', ':1884382810_w0_0', '458058812.29_2', ':1884382810_w3_0', '534549105#4.101_1', '534549105#4.101_4', ':1884382810_w2_0']","[23.0, 23.0, 22.0, 22.0, 0, 45.0, 22.0, 22.0, 22.0, 23.0]"
1926509619,False,48,"['635483970.81_0', 'gneE706_1', '-307511472#0_1', '635483970.81_1', ':1926509619_w0_0', '537661114_1', ':1926509619_w1_0', '537661114_2']","[44.0, 14.0, 14.0, 44.0, 40.0, 44.0, 9.0, 44.0]"
2037272672,False,39,"['428244923_2', '531939331_2', ':2037272672_w0_0', '671471376_0', '671471376_1', '531939331_1', '428244923_1']","[15.0, 7.0, 0, 15.0, 15.0, 7.0, 15.0]"
2053744124,False,87,"['gneE176.66_1', 'gneE176.66_2', 'gneE237_2', ':2053744124_w1_0', ':2053744124_w3_0', ':2053744124_w2_0', 'gneE237_1', 'gneE274_1', ':2053744124_w0_0', 'gneE274_2']","[54.0, 54.0, 25.0, 54.0, 54.0, 25.0, 25.0, 54.0, 25.0, 54.0]"
2053744131,False,87,"['428243311#0_4', '428243311#0_1', '428243311#0_3', '428243311#0_2']","[80.0, 80.0, 80.0, 80.0]"
2062150190,False,34,"['332946371#0_2', '332946371#0_1', ':2062150190_w1_0', '332946371#0_3']","[6.0, 6.0, 6.0, 6.0]"
244420124,False,59,"['pseudoMercer1_0', 'pseudoMercer1_1']","[29.0, 29.0]"
244420222,False,59,['22768208_0'],[29.0]
2476726095,False,25,"['gneE483_1', 'gneE483_2', ':2476726095_w0_0', '371427803#4_2', '371427803#4_1', '-239900325#0_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 0]"
2481926130,False,40,"['580426496#0.82_4', ':cluster_2481926130_2481926135_w2_0', ':cluster_2481926130_2481926135_w1_0', '371267131#2_2', ':cluster_2481926130_2481926135_w0_0', ':cluster_2481926130_2481926135_w5_0', '580426496#0.82_5', ':cluster_2481926130_2481926135_w3_0', '371267131#2_3', '130308594#0_1', ':cluster_2481926130_2481926135_w4_0', '371267131#2_1', '580426496#0.82_3', '580426496#0.82_2', '580426496#0.82_1']","[15.0, 6.0, 15.0, 6.0, 6.0, 15.0, 15.0, 6.0, 6.0, 6.0, 15.0, 6.0, 15.0, 15.0, 15.0]"
2481938316,False,109,"['360390221#0_2', '623957672#2_1', ':2481938316_w1_0', ':2481938316_w0_0', '360390221#0_1', ':2481938316_w3_0', '-339831624_1', ':2481938316_w2_0', '623957672#2_3', '-339831624_2', '623957672#2_4', '623957672#2_2']","[19.0, 41.0, 54.0, 41.0, 19.0, 19.0, 54.0, 41.0, 41.0, 30.0, 41.0, 41.0]"
2511119226,False,87,"[':2511119226_w2_0', '-369952412#1_1', '466211471#0_1', '-369952412#1_2', ':2511119226_w0_0', ':2511119226_w1_0', '466211471#0_2']","[75.0, 75.0, 75.0, 75.0, 4.0, 4.0, 75.0]"
2524926759,False,33,"['332949669#0_1', '-332949668_1', '245265271#0_0', '332949669#0_2', '-332949668_2']","[41.0, 41.0, 19.0, 41.0, 41.0]"
2706253346,False,87,"['6499326#3_1', ':2706253346_w0_0', ':2706253346_w3_0', ':2706253346_w1_0', ':2706253346_w2_0', '-6499326#4_1', '-369922295#4_1', '369922295#2_1']","[40.0, 36.0, 36.0, 36.0, 36.0, 40.0, 40.0, 40.0]"
2706300474,False,52,"['428088900#0_2', '428088900#0_1', '-6341066#2_1', '-433500388_1', ':2706300474_w1_0', ':2706300474_w2_0', '369877024#3_1', ':2706300474_w3_0']","[20.0, 13.0, 6.0, 26.0, 14.0, 6.0, 6.0, 19.0]"
2906119379,False,43,"[':cluster_2906119379_4270742185_w1_0', ':cluster_2906119379_4270742185_w0_0', '-427909661.164_1', '-427909661.164_0', '290771882_1', '-E2_1', '-E2_2', '290771882_2', '-102917977_1', '-102917977_2']","[15.0, 29.0, 43.0, 40.0, 34.0, 19.0, 19.0, 34.0, 19.0, 19.0]"
2906119381,False,29,"['-290771883_0', '-290771883_1', '357012705_1', '-290771991_2', '-290771991_1', ':2906119381_w1_0']","[13.0, 13.0, 17.0, 6.0, 6.0, 0]"
30003684,False,48,"['360589212#1_0', '573622538_1', ':30003684_w1_0', '360589212#1_2', '360589212#1_1', '360589208_2', '573622538_2', '360589208_1', ':30003684_w0_0']","[33.0, 10.0, 10.0, 33.0, 33.0, 33.0, 10.0, 33.0, 33.0]"
30003796,False,72,"[':30003796_w3_0', '-427914145#0_4', '427914163_2', '427914163_3', '427914314_4', '427914314_2', '-286940848#0_1', '-427914145#0_3', '-286940848#0_3', '427914314_3', '427914314_1', '427914163_4', '-427914145#0_2', ':30003796_w2_0', '-286940848#0_2', ':30003796_w1_0', '427914163_1', '-427914145#0_1', ':30003796_w0_0']","[16.0, 13.0, 15.0, 15.0, 4.0, 7.0, 21.0, 13.0, 10.0, 7.0, 21.0, 4.0, 16.0, 15.0, 21.0, 7.0, 15.0, 16.0, 21.0]"
30079057,False,61,"['163419181#1_2', '428237371_0', '58560464#0_1', ':30079057_w1_0', '393047812_1', '163419181#1_1', '393047812_0', '428237371_1', '58560464#0_0']","[10.0, 20.0, 20.0, 40.0, 10.0, 10.0, 10.0, 20.0, 20.0]"
30279697,False,72,"[':30279697_w4_0', '6410178#2_1', '37551510#0.96_2', ':30279697_w2_0', ':30279697_w0_0', '37551510#0.96_1', ':30279697_w1_0', '37551510#0.96_3', ':30279697_w3_0', '6410178#2_3', '6410178#2_2', '56178982_0', '56178982_1']","[6.0, 6.0, 6.0, 17.0, 6.0, 6.0, 17.0, 6.0, 17.0, 6.0, 6.0, 7.0, 7.0]"
30343857,True,3600,"['-6444537_2', ':30343857_w2_0', '235036846#1_2', ':30343857_w0_0', '235036846#1_1', ':30343857_w1_0', '88999331#3_2', '-6444537_1', '88999331#3_1']","[37.0, 5.0, 37.0, 37.0, 74.0, 37.0, 37.0, 37.0, 37.0]"
