start_region,end_region,max_outflow,initial_n_vehs,min_max_outflow
1,3,1.42,0,0.0
1,11,4.07,0,3.62
1,6,1.64,0,1.41
1,8,2.74,0,2.61
1,5,1.46,0,0.0
1,9,1.75,0,1.61
2,3,1.58,0,1.21
2,5,2.3,0,1.81
3,7,4.33,0,0.0
3,11,13.02,0,9.7
3,1,1.91,0,0.34
3,6,1.89,0,0.0
3,13,2.88,0,2.88
3,2,0.78,0,0.0
3,9,2.26,0,0.0
4,7,0.89,0,0.89
4,10,6.77,0,5.98
5,8,7.86,0,1.35
5,10,1.32,0,0.0
5,2,1.58,0,0.0
6,3,1.5,0,0.0
6,1,2.07,0,1.5
6,8,1.05,0,0.0
6,12,10.68,0,8.93
6,13,3.82,0,3.13
6,9,1.92,0,0.0
7,3,3.44,0,0.0
7,8,1.95,0,0.0
7,10,7.63,0,5.65
7,9,1.65,0,0.0
8,7,1.78,0,0.0
8,1,0.6,0,0.36
8,6,2.65,0,1.38
8,10,1.61,0,0.0
8,5,7.66,0,1.57
8,12,0.23,0,0.0
8,9,0.38,0,0.0
9,3,4.41,0,2.21
9,7,1.25,0,0.0
9,1,0.7,0,0.25
9,6,0.12,0,0.0
9,8,0.63,0,0.0
10,7,5.64,0,2.38
10,8,2.38,0,0.0
10,5,2.02,0,0.0
10,4,6.13,0,5.09
11,3,13.77,0,9.54
11,1,1.43,0,1.43
12,6,10.41,0,8.71
12,8,0.25,0,0.0
13,3,2.16,0,2.16
13,6,3.87,0,3.03
