Region,mfd
1,9.2144e-07* n^3 -1.4066e-02* n^2 +5.3889e+01* n +1.329e+04
2,2.6005e-05* n^3 -9.7877e-02* n^2 +9.5163e+01* n -1.4370e+03
3,1.0303e-06* n^3 -8.6337e-03* n^2 +1.8519e+01* n +2.2404e+02
4,5.5763e-06* n^3 -2.0682e-02* n^2 +1.9695e+01* n +8.9352e+02
5,9.8713e-07* n^3 -7.3644e-03* n^2 +1.3940e+01* n +7.845e+02
6,3.7418e-07* n^3 -3.8767e-03* n^2 +1.0121e+01* n +1.3495e+03
7,1.7848e-06* n^3 -1.1576e-02* n^2 +1.9046e+01* n +5.3087e+02
8,8.9355e-07* n^3 -6.8913e-03* n^2 +1.3302e+01* n +8.4145e+02
9,1.9642e-05* n^3 -3.3585e-02* n^2 +1.458e+01* n +4.4870e+01
10,1.5947e-05* n^3 -3.2623e-02* n^2 +1.7041e+01* n +5.8362e+01
11,6.3925e-06* n^3 -2.0062e-02* n^2 +1.6065e+01* n +4.4446e+02
12,1.3139e-06* n^3 -6.1692e-03* n^2 +7.2233e+00* n +4.7198e+02
13,2.1588e-05* n^3 -3.5699e-02* n^2 +1.5288e+01* n +7.5892e+01
