Region,mfd
1,7.1034e-11* n^3 -1.1634e-06* n^2 +4.9135e-03* n +1.0726e+00
2,2.3569e-09* n^3 -8.9664e-06* n^2 +8.9394e-03* n -2.4501e-01
3,3.6867e-10* n^3 -3.1065e-06* n^2 +6.5606e-03* n +8.2657e-01
4,1.7014e-09* n^3 -6.171e-06* n^2 +5.8978e-03* n +1.9364e-01
5,4.6023e-10* n^3 -3.5063e-06* n^2 +6.8597e-03* n +6.6332e-01
6,1.2787e-10* n^3 -1.3366e-06* n^2 +3.5246e-03* n +1.3872e+00
7,4.3292e-10* n^3 -2.9543e-06* n^2 +5.0876e-03* n +5.7738e-01
8,2.6733e-10* n^3 -2.3589e-06* n^2 +5.1708e-03* n +9.058e-01
9,1.6178e-08* n^3 -3.0431e-05* n^2 +1.4679e-02* n +1.2396e-01
10,6.361e-09* n^3 -1.5414e-05* n^2 +9.8095e-03* n -3.1157e-02
11,2.6284e-09* n^3 -8.0799e-06* n^2 +6.225e-03* n +4.0063e-01
12,5.4478e-10* n^3 -2.3323e-06* n^2 +2.6541e-03* n +3.3587e-01
13,1.0215e-08* n^3 -1.707e-05* n^2 +7.5562e-03* n +7.0402e-02
